;params;AIC;resid_sum
0;(0, 0, 0, 0, 0, 0, 12);1563.1413235075142;118218427.0
1;(0, 0, 0, 0, 0, 1, 12);1563.1413235075142;86564288.04878207
2;(0, 0, 0, 0, 0, 2, 12);1563.1413235075142;54188561.43102525
3;(0, 0, 0, 0, 0, 3, 12);1563.1413235075142;45448569.127318874
4;(0, 0, 0, 0, 1, 0, 12);1563.1413235075142;39508965.0
5;(0, 0, 0, 0, 1, 1, 12);1563.1413235075142;20292236.717182364
6;(0, 0, 0, 0, 1, 2, 12);1563.1413235075142;23594365.148247845
7;(0, 0, 0, 0, 1, 3, 12);1563.1413235075142;20234035.146990187
8;(0, 0, 0, 0, 2, 0, 12);1563.1413235075142;-651197.3146316046
9;(0, 0, 0, 0, 2, 1, 12);1563.1413235075142;16941221.90346597
10;(0, 0, 0, 0, 2, 2, 12);1563.1413235075142;22057967.383592777
11;(0, 0, 0, 0, 2, 3, 12);1563.1413235075142;21274909.571170613
12;(0, 0, 0, 0, 3, 0, 12);1563.1413235075142;-10192762.257907428
13;(0, 0, 0, 0, 3, 1, 12);1563.1413235075142;-4474040.471640653
14;(0, 0, 0, 0, 3, 2, 12);1563.1413235075142;-830026.5712341964
15;(0, 0, 0, 0, 3, 3, 12);1563.1413235075142;1579674.165132599
16;(0, 0, 0, 1, 0, 0, 12);1563.1413235075142;46216168.79417524
17;(0, 0, 0, 1, 0, 1, 12);1563.1413235075142;36676279.78463913
18;(0, 0, 0, 1, 0, 2, 12);1563.1413235075142;40771468.02891604
19;(0, 0, 0, 1, 0, 3, 12);1563.1413235075142;40592385.99806242
20;(0, 0, 0, 1, 1, 0, 12);1563.1413235075142;19935048.879835326
21;(0, 0, 0, 1, 1, 1, 12);1563.1413235075142;25274548.00607326
22;(0, 0, 0, 1, 1, 2, 12);1563.1413235075142;15396357.833731964
23;(0, 0, 0, 1, 1, 3, 12);1563.1413235075142;14377142.090064809
24;(0, 0, 0, 1, 2, 0, 12);1563.1413235075142;9278516.583656462
25;(0, 0, 0, 1, 2, 1, 12);1563.1413235075142;19476099.371039327
26;(0, 0, 0, 1, 2, 2, 12);1563.1413235075142;21985494.71558124
27;(0, 0, 0, 1, 2, 3, 12);1563.1413235075142;22953711.285439387
28;(0, 0, 0, 1, 3, 0, 12);1563.1413235075142;-7435806.684656844
29;(0, 0, 0, 1, 3, 1, 12);1563.1413235075142;-2113607.7190755103
30;(0, 0, 0, 1, 3, 2, 12);1563.1413235075142;957888.9674333725
31;(0, 0, 0, 1, 3, 3, 12);1563.1413235075142;2510666.7360589085
32;(0, 0, 0, 2, 0, 0, 12);1563.1413235075142;38307179.437753804
33;(0, 0, 0, 2, 0, 1, 12);1563.1413235075142;34567710.51703308
34;(0, 0, 0, 2, 0, 2, 12);1563.1413235075142;40764425.116500095
35;(0, 0, 0, 2, 0, 3, 12);1563.1413235075142;40584865.84028513
36;(0, 0, 0, 2, 1, 0, 12);1563.1413235075142;19530656.126299277
37;(0, 0, 0, 2, 1, 1, 12);1563.1413235075142;15178143.094368638
38;(0, 0, 0, 2, 1, 2, 12);1563.1413235075142;14636559.11081972
39;(0, 0, 0, 2, 1, 3, 12);1563.1413235075142;14806295.285971832
40;(0, 0, 0, 2, 2, 0, 12);1563.1413235075142;17445135.751685936
41;(0, 0, 0, 2, 2, 1, 12);1563.1413235075142;21843336.82215532
42;(0, 0, 0, 2, 2, 2, 12);1563.1413235075142;22107128.830785736
43;(0, 0, 0, 2, 2, 3, 12);1563.1413235075142;23493153.031260572
44;(0, 0, 0, 2, 3, 0, 12);1563.1413235075142;-2019439.9330960736
45;(0, 0, 0, 2, 3, 1, 12);1563.1413235075142;4822489.255579729
46;(0, 0, 0, 2, 3, 2, 12);1563.1413235075142;6689036.327329906
47;(0, 0, 0, 2, 3, 3, 12);1563.1413235075142;7201100.307616884
48;(0, 0, 0, 3, 0, 0, 12);1563.1413235075142;35355783.551652856
49;(0, 0, 0, 3, 0, 1, 12);1563.1413235075142;35220002.14558987
50;(0, 0, 0, 3, 0, 2, 12);1563.1413235075142;40771102.02150129
51;(0, 0, 0, 3, 0, 3, 12);1563.1413235075142;40595275.54827091
52;(0, 0, 0, 3, 1, 0, 12);1563.1413235075142;14364417.179089302
53;(0, 0, 0, 3, 1, 1, 12);1563.1413235075142;18544691.254484646
54;(0, 0, 0, 3, 1, 2, 12);1563.1413235075142;15273944.210301679
