;params;AIC;RMSE
0;(0, 0, 0, 0, 0, 0, 12);1807.9925606222332;2436309.722905185
1;(0, 0, 0, 0, 0, 1, 12);1808.9143636826511;1748050.22208678
2;(0, 0, 0, 0, 0, 2, 12);1740.7222905857793;1138342.9345219736
3;(0, 0, 0, 0, 0, 3, 12);1735.5436622941963;1016212.5304383419
4;(0, 0, 0, 0, 1, 0, 12);1348.0298886489086;977231.8891591278
5;(0, 0, 0, 0, 1, 1, 12);1399.6105300697238;881872.5992247702
6;(0, 0, 0, 0, 1, 2, 12);1341.7337244513951;877141.4484787257
7;(0, 0, 0, 0, 1, 3, 12);1339.1329320013347;845511.983755276
8;(0, 0, 0, 0, 2, 0, 12);996.7000752346999;988484.3195829199
9;(0, 0, 0, 0, 2, 1, 12);983.4438106526436;845706.0835015422
10;(0, 0, 0, 0, 2, 2, 12);984.7695638292046;844571.7887174684
11;(0, 0, 0, 0, 2, 3, 12);985.7743754834231;827947.6023038948
12;(0, 0, 0, 1, 0, 0, 12);1733.6415456427076;1049678.693652607
13;(0, 0, 0, 1, 0, 1, 12);1720.8887064672476;920293.5370728777
14;(0, 0, 0, 1, 0, 2, 12);1732.1635310395527;961309.4236219418
15;(0, 0, 0, 1, 0, 3, 12);1733.763829062289;959384.6306561328
16;(0, 0, 0, 1, 1, 0, 12);1338.3425678044748;864054.2855181776
17;(0, 0, 0, 1, 1, 1, 12);1340.2570800342314;875354.7944354132
18;(0, 0, 0, 1, 1, 2, 12);1339.0224655972704;820360.0661744839
19;(0, 0, 0, 1, 1, 3, 12);1337.4472679320202;798746.3107224458
20;(0, 0, 0, 1, 2, 0, 12);987.8406488768621;921125.9065295282
21;(0, 0, 0, 1, 2, 1, 12);985.2300615751246;845511.8245791465
22;(0, 0, 0, 1, 2, 2, 12);986.4106406925066;836245.9523547216
23;(0, 0, 0, 1, 2, 3, 12);987.4036754433259;822168.9756101969
24;(0, 0, 0, 2, 0, 0, 12);1725.5535159574847;945020.7138599239
25;(0, 0, 0, 2, 0, 1, 12);1722.1458986806704;908385.4425920609
26;(0, 0, 0, 2, 0, 2, 12);1734.1634464333206;961278.3055873218
27;(0, 0, 0, 2, 0, 3, 12);1735.7635938254718;959349.5821846365
28;(0, 0, 0, 2, 1, 0, 12);1341.9702690658905;863248.0658539076
29;(0, 0, 0, 2, 1, 1, 12);1546.4548644494198;805294.0546678423
30;(0, 0, 0, 2, 1, 2, 12);1339.5357595884675;830707.9476924018
31;(0, 0, 0, 2, 1, 3, 12);1339.1468054919007;791999.980699151
32;(0, 0, 0, 2, 2, 0, 12);1630.96573537509;885254.8525113966
33;(0, 0, 0, 2, 2, 1, 12);986.7505308442178;838553.1199327745
34;(0, 0, 0, 2, 2, 2, 12);988.1435724389913;829877.3051885528
35;(0, 0, 0, 2, 2, 3, 12);989.3865418122573;822730.1539903996
36;(0, 0, 0, 3, 0, 0, 12);1721.0696854864852;909670.5261353874
37;(0, 0, 0, 3, 0, 1, 12);1724.010706925561;914102.7922368303
38;(0, 0, 0, 3, 0, 2, 12);1736.1668637351052;961338.4865999164
39;(0, 0, 0, 3, 0, 3, 12);1737.7609211195613;959337.9615114781
40;(0, 0, 0, 3, 1, 0, 12);1513.4946149458024;749948.3000847067
41;(0, 0, 0, 3, 1, 1, 12);1468.4463128215023;870739.2861067235
42;(0, 0, 0, 3, 1, 2, 12);1338.2683660801601;775894.5110877265
43;(0, 0, 0, 3, 1, 3, 12);1340.123444403765;773220.7484525099
44;(0, 0, 0, 3, 2, 0, 12);988.6130522894798;870293.7676525956
45;(0, 0, 0, 3, 2, 1, 12);988.637719611779;834469.1879603879
46;(0, 0, 0, 3, 2, 2, 12);989.9996587855167;825629.8602328855
47;(0, 0, 0, 3, 2, 3, 12);991.3762279687976;822752.3574662926
48;(0, 0, 1, 0, 0, 0, 12);1779.1762812265808;1534519.958154011
