;params;AIC
0;(0, 0, 0, 0, 0, 0, 12);1807.9925606222332
1;(0, 0, 0, 0, 0, 1, 12);1808.9143636826511
2;(0, 0, 0, 0, 0, 2, 12);1740.7222905857793
3;(0, 0, 0, 0, 0, 3, 12);1735.5436622941963
4;(0, 0, 0, 0, 1, 0, 12);1348.0298886489086
5;(0, 0, 0, 0, 1, 1, 12);1399.6105300697238
6;(0, 0, 0, 0, 1, 2, 12);1341.7337244513951
7;(0, 0, 0, 0, 1, 3, 12);1339.1329320013347
8;(0, 0, 0, 0, 2, 0, 12);996.7000752346999
9;(0, 0, 0, 0, 2, 1, 12);983.4438106526436
10;(0, 0, 0, 0, 2, 2, 12);984.7695638292046
11;(0, 0, 0, 0, 2, 3, 12);985.7743754834231
12;(0, 0, 0, 0, 3, 0, 12);707.9588305360614
13;(0, 0, 0, 0, 3, 1, 12);637.5688946230541
14;(0, 0, 0, 0, 3, 2, 12);625.0301857248776
15;(0, 0, 0, 0, 3, 3, 12);622.3714660563189
16;(0, 0, 0, 1, 0, 0, 12);1733.6415456427076
17;(0, 0, 0, 1, 0, 1, 12);1720.8887064672476
18;(0, 0, 0, 1, 0, 2, 12);1732.1635310395527
19;(0, 0, 0, 1, 0, 3, 12);1733.763829062289
20;(0, 0, 0, 1, 1, 0, 12);1338.3425678044748
21;(0, 0, 0, 1, 1, 1, 12);1340.2570800342314
22;(0, 0, 0, 1, 1, 2, 12);1339.0224655972704
23;(0, 0, 0, 1, 1, 3, 12);1337.4472679320202
24;(0, 0, 0, 1, 2, 0, 12);987.8406488768621
25;(0, 0, 0, 1, 2, 1, 12);985.2300615751246
26;(0, 0, 0, 1, 2, 2, 12);986.4106406925066
27;(0, 0, 0, 1, 2, 3, 12);987.4036754433259
28;(0, 0, 0, 1, 3, 0, 12);632.3757371613574
29;(0, 0, 0, 1, 3, 1, 12);624.6103872983684
30;(0, 0, 0, 1, 3, 2, 12);623.2413448987344
31;(0, 0, 0, 1, 3, 3, 12);623.7240433361858
32;(0, 0, 0, 2, 0, 0, 12);1725.5535159574847
33;(0, 0, 0, 2, 0, 1, 12);1722.1458986806704
34;(0, 0, 0, 2, 0, 2, 12);1734.1634464333206
35;(0, 0, 0, 2, 0, 3, 12);1735.7635938254718
36;(0, 0, 0, 2, 1, 0, 12);1341.9702690658905
37;(0, 0, 0, 2, 1, 1, 12);1546.4548644494198
38;(0, 0, 0, 2, 1, 2, 12);1339.5357595884675
39;(0, 0, 0, 2, 1, 3, 12);1339.1468054919007
40;(0, 0, 0, 2, 2, 0, 12);1630.96573537509
41;(0, 0, 0, 2, 2, 1, 12);986.7505308442178
42;(0, 0, 0, 2, 2, 2, 12);988.1435724389913
43;(0, 0, 0, 2, 2, 3, 12);989.3865418122573
44;(0, 0, 0, 2, 3, 0, 12);624.6154137074506
45;(0, 0, 0, 2, 3, 1, 12);620.0932618435982
46;(0, 0, 0, 2, 3, 2, 12);620.6960657081056
47;(0, 0, 0, 2, 3, 3, 12);622.195469532352
48;(0, 0, 0, 3, 0, 0, 12);1721.0696854864852
49;(0, 0, 0, 3, 0, 1, 12);1724.010706925561
50;(0, 0, 0, 3, 0, 2, 12);1736.1668637351052
51;(0, 0, 0, 3, 0, 3, 12);1737.7609211195613
52;(0, 0, 0, 3, 1, 0, 12);1513.4946149458024
53;(0, 0, 0, 3, 1, 1, 12);1468.4463128215023
54;(0, 0, 0, 3, 1, 2, 12);1338.2683660801601
55;(0, 0, 0, 3, 1, 3, 12);1340.123444403765
56;(0, 0, 0, 3, 2, 0, 12);988.6130522894798
57;(0, 0, 0, 3, 2, 1, 12);988.637719611779
58;(0, 0, 0, 3, 2, 2, 12);989.9996587855167
59;(0, 0, 0, 3, 2, 3, 12);991.3762279687976
60;(0, 0, 0, 3, 3, 0, 12);620.3760783179666
61;(0, 0, 0, 3, 3, 1, 12);621.2373205795703
62;(0, 0, 0, 3, 3, 2, 12);622.6322653623268
63;(0, 0, 0, 3, 3, 3, 12);624.1934553360389
64;(0, 0, 1, 0, 0, 0, 12);1779.1762812265808
65;(0, 0, 1, 0, 0, 1, 12);1774.609808436424
66;(0, 0, 1, 0, 0, 2, 12);1775.214100084239
67;(0, 0, 1, 0, 0, 3, 12);1776.8064877730262
68;(0, 0, 1, 0, 1, 0, 12);1322.9317359736583
69;(0, 0, 1, 0, 1, 1, 12);1322.7741900106967
70;(0, 0, 1, 0, 1, 2, 12);1324.4175933115068
71;(0, 0, 1, 0, 1, 3, 12);1326.0996598364347
72;(0, 0, 1, 0, 2, 0, 12);975.551706692929
73;(0, 0, 1, 0, 2, 1, 12);973.7404096192134
74;(0, 0, 1, 0, 2, 2, 12);974.9249369527394
75;(0, 0, 1, 0, 2, 3, 12);976.7910010448311
76;(0, 0, 1, 0, 3, 0, 12);636.7444000449692
77;(0, 0, 1, 0, 3, 1, 12);630.7639802465224
78;(0, 0, 1, 0, 3, 2, 12);629.710373779685
79;(0, 0, 1, 0, 3, 3, 12);630.548283906083
80;(0, 0, 1, 1, 0, 0, 12);1772.6283616261012
81;(0, 0, 1, 1, 0, 1, 12);1774.6274402796225
82;(0, 0, 1, 1, 0, 2, 12);1776.6274402660933
83;(0, 0, 1, 1, 0, 3, 12);1778.6274366626615
84;(0, 0, 1, 1, 1, 0, 12);1322.2140157532338
85;(0, 0, 1, 1, 1, 1, 12);1324.1019947548182
86;(0, 0, 1, 1, 1, 2, 12);1326.1001360703285
87;(0, 0, 1, 1, 1, 3, 12);1328.0549681586037
88;(0, 0, 1, 1, 2, 0, 12);973.5878338568748
89;(0, 0, 1, 1, 2, 1, 12);974.78222120076
90;(0, 0, 1, 1, 2, 2, 12);976.7440677066904
91;(0, 0, 1, 1, 2, 3, 12);978.7336273363957
92;(0, 0, 1, 1, 3, 0, 12);627.8878853271393
93;(0, 0, 1, 1, 3, 1, 12);628.8563974024661
94;(0, 0, 1, 1, 3, 2, 12);630.3720414862366
95;(0, 0, 1, 1, 3, 3, 12);632.151010783398
96;(0, 0, 1, 2, 0, 0, 12);1774.6274403007774
97;(0, 0, 1, 2, 0, 1, 12);1776.627578429906
98;(0, 0, 1, 2, 0, 2, 12);1778.6274393541464
99;(0, 0, 1, 2, 0, 3, 12);1780.6274358787996
100;(0, 0, 1, 2, 1, 0, 12);1324.123492751175
101;(0, 0, 1, 2, 1, 1, 12);1326.1008940842835
102;(0, 0, 1, 2, 1, 2, 12);1328.0742786654723
103;(0, 0, 1, 2, 1, 3, 12);1330.0528144078485
104;(0, 0, 1, 2, 2, 0, 12);974.8202763057626
105;(0, 0, 1, 2, 2, 1, 12);976.6976206729535
106;(0, 0, 1, 2, 2, 2, 12);978.5704508795329
107;(0, 0, 1, 2, 2, 3, 12);980.5696968047972
108;(0, 0, 1, 2, 3, 0, 12);628.1850100317897
109;(0, 0, 1, 2, 3, 1, 12);629.6849015391263
110;(0, 0, 1, 2, 3, 2, 12);631.5607158321561
111;(0, 0, 1, 2, 3, 3, 12);633.5159363056085
112;(0, 0, 1, 3, 0, 0, 12);1776.6274402448971
113;(0, 0, 1, 3, 0, 1, 12);1778.6274398115484
114;(0, 0, 1, 3, 0, 2, 12);1780.6274487128685
115;(0, 0, 1, 3, 0, 3, 12);1782.6274358277733
116;(0, 0, 1, 3, 1, 0, 12);1326.0733720565815
117;(0, 0, 1, 3, 1, 1, 12);1328.0565901485122
118;(0, 0, 1, 3, 1, 2, 12);1330.0531877348033
119;(0, 0, 1, 3, 1, 3, 12);1332.052336763332
120;(0, 0, 1, 3, 2, 0, 12);976.7685585549068
121;(0, 0, 1, 3, 2, 1, 12);978.6480198969433
122;(0, 0, 1, 3, 2, 2, 12);980.5699485360257
123;(0, 0, 1, 3, 2, 3, 12);982.5660828723795
124;(0, 0, 1, 3, 3, 0, 12);629.5122754224427
125;(0, 0, 1, 3, 3, 1, 12);631.4710297929304
126;(0, 0, 1, 3, 3, 2, 12);633.4712090073335
127;(0, 0, 1, 3, 3, 3, 12);635.5600248568694
128;(0, 0, 2, 0, 0, 0, 12);1773.0314689255208
129;(0, 0, 2, 0, 0, 1, 12);1773.427342703882
130;(0, 0, 2, 0, 0, 2, 12);1775.0853336401276
131;(0, 0, 2, 0, 0, 3, 12);1776.9969459960575
132;(0, 0, 2, 0, 1, 0, 12);1316.7353553483765
